DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Literature-Validated Risk Genes,Number of Validated Risk Genes,Gene Target Article Count,Risk Gene Article Count,Gene Target PMIDs,Risk Gene PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR,Percent Targets Hit
linifanib,"AMPLIFICATION, SOMATIC",KIT,1,PIK3CA,1,14,34,"16342249, 17317803, 17253141, 17513510, 17935283, 16630292, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",KIT: UNKNOWN,ATP binding,0.0288243271413439,100.0
xl999,"AMPLIFICATION, SOMATIC","FGFR1, FGFR3, RET",3,PIK3CA,1,55,17,"11329134, 16807070, 11953175, 15988378, 15583857, 18437172, 11502806, 12075207, 11938683, 10989966, 12743496, 11301350, 15379723, 10999773, 12907632, 16555619, 16946010, 17891251, 16932252, 11502837, 12162676, 16778204, 16402937, 16634961, 14962731, 16209369, 11216646, 12212516, 15611826, 17435680, 14761598, 17900235, 11817715, 15719371, 16350727, 17427103, 12548161, 11742034, 15203751, 15165306, 17131411, 17545628, 11562460, 16149875, 11116144, 18551016, 11605053, 11289733, 12670889, 18059337, 11370534, 17471236, 11706744, 16551863","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",FGFR1: UNKNOWN; FGFR3: UNKNOWN; RET: UNKNOWN,ATP binding,0.0288243271413439,100.0
canertinib,"DELETION, SOMATIC","AKT1, EGFR, ERBB2",3,CDKN2A,1,326,16,"17826531, 14603452, 15161032, 17250463, 17098420, 16565089, 16551906, 16722544, 14662414, 16630292, 15930290, 17653341, 16495180, 15476268, 18383530, 11597400, 15173005, 11173137, 15511476, 15871288, 15659782, 11992543, 17608727, 12415634, 14528090, 15473298, 17609492, 17350323, 18307254, 12782800, 18377832, 18199961, 16984384, 17685120, 11727507, 18225590, 12544258, 17996216, 16357156, 15021776, 12202783, 11597399, 16140980, 17236202, 15672286, 18061531, 16287490, 15231207, 16050785, 17909831, 18203445, 16986486, 11755824, 17674766, 11895923, 15208356, 11904986, 15103197, 12966511, 12860957, 15934280, 11479234, 17431103, 18172732, 17592548, 15197768, 17904355, 17200208, 14763138, 11677653, 15736426, 16815198, 17208308, 18236164, 15987992, 12063543, 16488438, 15194221, 15638964, 15878750, 17591832, 15800944, 16005600, 15796181, 11448349, 15923166, 16702519, 15804620, 17078054, 12138239, 17949783, 12422313, 12782602, 15865067, 17723181, 16472704, 12187077, 12696248, 11890870, 12647989, 11350885, 17096332, 17404024, 16103303, 14967456, 17369752, 16158919, 18528705, 15592685, 17618045, 16088519, 17079462, 17956162, 11568571, 15256466, 15520175, 16857823, 12743152, 15887238, 17143494, 16428508, 12583831, 11673832, 11706420, 16490596, 14601066, 14977086, 12174340, 16264262, 17638894, 12414665, 18268492, 11920518, 11939730, 17878104, 16641105, 15785737, 16919867, 18442098, 18045070, 17848272, 16144930, 12587379, 14519647, 12512382, 15199094, 18369180, 18199957, 18316548, 16750322, 17704947, 14967457, 17940077, 16183941, 12599217, 17178880, 14499691, 15212612, 16002527, 17936675, 18202792, 17671674, 17964995, 11235991, 17410004, 13129707, 18329328, 11303632, 17520766, 17258495, 12912971, 12220351, 16082192, 16763281, 15238978, 15057134, 16737616, 12820779, 18636200, 14997212, 16757203, 17961551, 18025070, 17412519, 16330971, 12952019, 16562649, 11905034, 17538163, 17762933, 12228201, 12112535, 17121916, 14612544, 16007067, 11911252, 16904111, 16343364, 11668514, 14751528, 15520205, 16740767, 12541404, 14530163, 15450723, 12649172, 16818711, 16922611, 17660872, 16273222, 12833132, 16731604, 12509799, 18045071, 11893453, 15756022, 17273794, 16207530, 14607328, 15608420, 17134359, 15120370, 11221831, 17520580, 11751491, 15115300, 12011992, 17205528, 18309947, 12865874, 16198049, 17189989, 15774576, 16258434, 12440226, 17487368, 17310348, 15986037, 12147092, 17888033, 11673692, 16314626, 15142631, 11728233, 15338866, 12738995, 17211865, 17848290, 13679857, 11389080, 17591829, 14666705, 12422310, 16161046, 17877424, 17974918, 11846729, 16788977, 17936670, 15833860, 12167415, 16540898, 18326051, 16552236, 11556855, 14649542, 16644882, 11706397, 12142091, 16890793, 15827337, 18645125, 15652339, 17697551, 16004931, 17122988, 15878755, 18302259, 15791567, 14500405, 15599851, 17224925, 17416856, 15623643, 12607604, 18248834, 12673202, 15821783, 14988746, 15896313, 18413807, 14981927, 16807070, 18366301, 15809707, 12532415, 15613446, 14581353, 17141073, 12515612, 15816106, 15254682, 12826036, 14967462, 15717992, 14732836, 16778075, 17631646, 17940507, 15753456, 12520461, 14581378","15495191, 16713672, 16278815, 12632081, 18413807, 11720478, 11309301, 16849682, 17117177, 12684406, 12459644, 14586645, 15083191, 14991744, 17079134, 14654786",AKT1: inhibitor; EGFR: inhibitor; ERBB2: inhibitor,14-3-3 protein binding; actin filament binding; ATP binding,0.0288243271413439,75.0
alsterpaullone,"DELETION, SOMATIC","CDK1, CDK2, CDK5",3,"CDKN2A, CDKN2B",2,16,18,"16525614, 17145757, 11267947, 11453659, 15645429, 12017338, 15833870, 16248248, 16496417, 15543230, 16422547, 11555592, 11585773, 12480548, 16452236, 11272092","15495191, 16713672, 16278815, 12632081, 18413807, 17673925, 11720478, 11309301, 16849682, 17117177, 12684406, 12459644, 14586645, 15083191, 14991744, 17079134, 14654786",CDK1: inhibitor; CDK2: inhibitor; CDK5: inhibitor,ATP binding; acetylcholine receptor activator activity,0.0301111274601539,75.0
zanubrutinib,"AMPLIFICATION, SOMATIC","EGFR, ERBB2, ERBB4, JAK2, JAK3",5,PIK3CA,1,327,17,"17826531, 14603452, 15161032, 17250463, 17098420, 16565089, 16551906, 16722544, 14662414, 16630292, 15930290, 17653341, 16495180, 15476268, 18383530, 11597400, 15173005, 11173137, 15511476, 15871288, 15659782, 11992543, 17608727, 12415634, 14528090, 15473298, 17609492, 17350323, 18307254, 12782800, 18377832, 18199961, 16984384, 17969526, 17685120, 11727507, 18225590, 12544258, 17996216, 16357156, 15021776, 12202783, 11597399, 16140980, 17236202, 15672286, 18061531, 16287490, 15231207, 18204781, 16050785, 17909831, 18203445, 16986486, 11755824, 17674766, 11895923, 15208356, 11904986, 15103197, 12966511, 12860957, 15934280, 11479234, 17431103, 18172732, 17592548, 15197768, 17904355, 17200208, 14763138, 11677653, 15736426, 17208308, 16815198, 18236164, 15987992, 12063543, 16488438, 15194221, 15638964, 15878750, 17591832, 15800944, 16005600, 15796181, 11448349, 15923166, 16702519, 15804620, 17078054, 12138239, 17949783, 12422313, 12782602, 15865067, 17723181, 16472704, 12187077, 12696248, 11890870, 12647989, 11350885, 17096332, 17404024, 16103303, 14967456, 17369752, 16158919, 18528705, 15592685, 17618045, 16088519, 17079462, 17956162, 11568571, 15256466, 15520175, 16857823, 12743152, 15887238, 17143494, 16428508, 12583831, 11673832, 11706420, 16490596, 14601066, 14977086, 12174340, 16264262, 17638894, 12414665, 18268492, 11920518, 11939730, 17878104, 16641105, 15785737, 16919867, 18442098, 18045070, 15947106, 17848272, 16144930, 12587379, 14519647, 12512382, 15199094, 18369180, 18199957, 18316548, 16750322, 17704947, 14967457, 17940077, 16183941, 12599217, 17178880, 14499691, 15212612, 17936675, 18202792, 17671674, 17964995, 11235991, 17410004, 13129707, 18329328, 11303632, 17520766, 17258495, 12912971, 12220351, 16082192, 16763281, 18043285, 15238978, 15057134, 16737616, 12820779, 18636200, 14997212, 16757203, 17961551, 18025070, 17412519, 16330971, 12952019, 16562649, 11905034, 17538163, 17762933, 12228201, 12112535, 17121916, 14612544, 16007067, 11911252, 16904111, 16343364, 11668514, 14751528, 15520205, 16740767, 12541404, 14530163, 15450723, 12649172, 16818711, 16922611, 17660872, 16273222, 12833132, 16731604, 12509799, 18045071, 11893453, 15756022, 17273794, 16207530, 14607328, 15608420, 17134359, 15120370, 11221831, 17520580, 11751491, 15115300, 12011992, 17205528, 18309947, 12865874, 16198049, 17189989, 15774576, 16258434, 12440226, 17487368, 17310348, 15986037, 12147092, 17888033, 11673692, 16314626, 15142631, 11728233, 15338866, 12738995, 17211865, 17848290, 13679857, 11389080, 17591829, 14666705, 12422310, 16161046, 17877424, 17974918, 11846729, 16788977, 17936670, 15833860, 12167415, 16540898, 18326051, 16552236, 11556855, 14649542, 17604679, 16644882, 11706397, 12142091, 16890793, 15827337, 18645125, 15652339, 17697551, 16004931, 17122988, 15878755, 18302259, 15791567, 14500405, 15599851, 17224925, 17416856, 15623643, 12607604, 18248834, 12673202, 15821783, 14988746, 18413807, 14981927, 16807070, 18366301, 15809707, 15613446, 14581353, 17141073, 12515612, 15816106, 15254682, 12826036, 14967462, 15717992, 14732836, 17631646, 17940507, 15753456, 12520461, 14581378","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",EGFR: inhibitor; ERBB2: inhibitor; ERBB4: inhibitor; JAK2: inhibitor; JAK3: inhibitor,actin filament binding; ATP binding; acetylcholine receptor binding,0.0307144469538911,66.66666666666666
foreskin keratinocyte (neonatal),"AMPLIFICATION, SOMATIC","EGFR, FGFR2, IL1B, IL6, PDGFRA, TNF",6,"EPHA2, PIK3CA, TP53",3,308,51,"17826531, 14603452, 15161032, 17250463, 17098420, 16565089, 16551906, 16722544, 14662414, 16630292, 15930290, 17653341, 16495180, 15476268, 18383530, 11597400, 15173005, 11173137, 15871288, 15659782, 11992543, 17608727, 12415634, 14528090, 15473298, 17609492, 18307254, 12782800, 18377832, 16984384, 17685120, 11727507, 18225590, 12544258, 17996216, 16357156, 12202783, 11597399, 16140980, 17236202, 15672286, 18061531, 16287490, 15231207, 16050785, 17909831, 18203445, 16986486, 11755824, 17674766, 11895923, 15208356, 11904986, 15103197, 12966511, 12860957, 15934280, 11479234, 17431103, 18172732, 17592548, 16888677, 15197768, 17904355, 17200208, 14763138, 11677653, 15736426, 17208308, 18236164, 15987992, 12063543, 16488438, 15194221, 15638964, 15878750, 17591832, 15800944, 16005600, 15796181, 11448349, 15623624, 15923166, 16702519, 15804620, 17078054, 12138239, 17949783, 12422313, 12782602, 15865067, 17723181, 16472704, 12187077, 12696248, 11890870, 12647989, 11350885, 17096332, 17404024, 16103303, 14967456, 17369752, 16158919, 15592685, 17618045, 16088519, 17079462, 17956162, 11568571, 15256466, 15520175, 16857823, 12743152, 15887238, 17143494, 12075207, 16428508, 12583831, 11673832, 11706420, 14601066, 14977086, 12174340, 16264262, 17638894, 12414665, 18268492, 11920518, 11939730, 17878104, 12548461, 16641105, 15785737, 16919867, 18442098, 18045070, 15947106, 17848272, 16144930, 12587379, 14519647, 12512382, 15199094, 18369180, 18199957, 18316548, 16750322, 14967457, 17940077, 16183941, 12599217, 17178880, 14499691, 15212612, 17936675, 11926139, 18202792, 17671674, 17964995, 11235991, 17410004, 13129707, 18329328, 11303632, 17520766, 17258495, 12912971, 12220351, 16082192, 16763281, 15238978, 15057134, 16737616, 12820779, 18636200, 14997212, 16757203, 17961551, 18025070, 17412519, 16330971, 12952019, 16562649, 11905034, 17538163, 17762933, 12228201, 12112535, 17121916, 14612544, 16007067, 11911252, 16904111, 16343364, 11668514, 14751528, 15520205, 16740767, 12541404, 14530163, 15450723, 16818711, 16922611, 17660872, 16273222, 12833132, 16731604, 12509799, 18045071, 11893453, 15756022, 17273794, 16207530, 14607328, 15608420, 17134359, 15120370, 11221831, 17520580, 11751491, 15115300, 12011992, 17205528, 18309947, 12865874, 16198049, 17189989, 15774576, 16258434, 12440226, 17487368, 17310348, 15986037, 12147092, 17888033, 11673692, 16314626, 15142631, 11728233, 15338866, 12738995, 17211865, 17848290, 13679857, 11389080, 17591829, 12422310, 16161046, 17877424, 17974918, 11846729, 16788977, 17936670, 15833860, 12167415, 16540898, 18326051, 16552236, 11556855, 14649542, 17513510, 16644882, 11706397, 12142091, 16890793, 15827337, 18645125, 15652339, 17697551, 16004931, 12569015, 17122988, 15878755, 18302259, 15791567, 14500405, 15599851, 18197435, 15034017, 17224925, 15623643, 17356794, 12607604, 18248834, 12673202, 15821783, 14988746, 18413807, 14981927, 16807070, 18366301, 15809707, 15613446, 14581353, 17141073, 12515612, 15816106, 15254682, 12826036, 14967462, 15717992, 14732836, 17631646, 17940507, 15753456, 12520461, 14581378","17638058, 11916556, 16807070, 16969480, 17848307, 16682429, 17312781, 12708486, 14689060, 16676365, 12589859, 15965904, 11445847, 17990317, 16380997, 12935924, 14581353, 15700036, 17908957, 11959846, 16815198, 11390535, 18030354, 16455286, 17989125, 17258495, 12702551, 11836556, 12673364, 15810068, 11358835, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 12494475, 18376308, 17549376, 18447972, 16012721, 16713672, 17725429, 11445859, 16309192, 18425361, 17565818, 18485799",EGFR: agonist; FGFR2: agonist; IL1B: agonist; IL6: agonist; PDGFRA: agonist; TNF: agonist,actin filament binding; ATP binding; cytokine activity,0.0379177160609346,75.0
ro-4584820,"DELETION, SOMATIC","CDK1, CDK2, CDK4",3,"CDKN2A, CDKN2B",2,29,18,"16525614, 12017338, 11267947, 11453659, 11854069, 17340131, 16248248, 12429646, 15543230, 16422547, 11564579, 11585773, 16452236, 17139501, 12539309, 15645429, 16496417, 16027075, 11180160, 11555592, 12212108, 17477349, 15833870, 12747978, 17487385, 12480548, 11272092, 12447651","15495191, 16713672, 16278815, 12632081, 18413807, 17673925, 11720478, 11309301, 16849682, 17117177, 12684406, 12459644, 14586645, 15083191, 14991744, 17079134, 14654786",CDK1: inhibitor; CDK2: inhibitor; CDK4: inhibitor,ATP binding,0.0387637502935315,75.0
heparin,"AMPLIFICATION, SOMATIC","FGF4, FGFR1, FGFR2, FGFR4, HGF",5,"EPHA2, PIK3CA",2,32,22,"18484684, 16807070, 11911252, 15387324, 17981731, 17487429, 12075207, 15580170, 15920746, 17016592, 14984318, 17306605, 12429977, 18405350, 15720819, 15942670, 16135921, 16308260, 17294073, 14596869, 16103054, 15165306, 17545628, 12647789, 11374444, 11562460, 17545521, 18059337, 16186806, 16012040, 12569015","16807070, 17848307, 16676365, 17990317, 16380997, 14581353, 15700036, 16815198, 11959846, 18030354, 17989125, 11836556, 11358835, 15586224, 15543611, 12494475, 18376308, 18447972, 17549376, 16309192, 18425361, 18485799",FGF4: UNKNOWN; FGFR1: UNKNOWN; FGFR2: UNKNOWN; FGFR4: UNKNOWN; HGF: UNKNOWN,fibroblast growth factor receptor binding; ATP binding; chemoattractant activity,0.0425813923678945,75.0
altiratinib,"AMPLIFICATION, SOMATIC","MET, NTRK1, NTRK3",3,PIK3CA,1,15,17,"15735049, 11216646, 17435680, 11279608, 11752453, 11289733, 11911252, 11705871, 16483615, 17684930, 15319714, 17075124, 18349821, 11114633, 14991901","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",MET: inhibitor; NTRK1: inhibitor; NTRK3: inhibitor,ATP binding,0.0463011461839404,100.0
surufatinib,"AMPLIFICATION, SOMATIC",FGFR1,1,PIK3CA,1,5,17,"17545628, 16807070, 11562460, 18059337, 15165306","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",FGFR1: inhibitor,ATP binding,0.0463011461839404,100.0
imatinib,"AMPLIFICATION, SOMATIC","KIT, NTRK1, PDGFRA, RET",4,PIK3CA,1,59,17,"11329134, 16342249, 11953175, 17253141, 15988378, 15583857, 18437172, 11502806, 11938683, 11114633, 10989966, 12743496, 11301350, 15379723, 10999773, 12907632, 16555619, 16946010, 17891251, 16932252, 11502837, 12162676, 16778204, 16402937, 16634961, 14962731, 16483615, 16209369, 11216646, 12212516, 15611826, 17435680, 14761598, 17900235, 11817715, 17317803, 17513510, 14499691, 15719371, 16350727, 17427103, 12548161, 17935283, 16630292, 11742034, 15203751, 17131411, 16149875, 11116144, 18551016, 11289733, 12670889, 11370534, 17471236, 11706744, 16551863, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",KIT: antagonist; NTRK1: antagonist; PDGFRA: antagonist; RET: inhibitor,ATP binding,0.0463011461839404,72.72727272727273
alvocidib,"AMPLIFICATION, DELETION, SOMATIC","CDK1, CDK2, CDK4, CDK5, CDK6, EGFR",6,"CDKN2B, PIK3CA, TP53",3,366,48,"11854069, 17826531, 14603452, 15161032, 17250463, 17098420, 16565089, 16551906, 16722544, 14662414, 16630292, 15930290, 17635577, 17653341, 16495180, 15476268, 18383530, 11597400, 15173005, 17145757, 11173137, 15871288, 15659782, 11992543, 17608727, 12415634, 14528090, 15473298, 17609492, 18307254, 12782800, 18377832, 16984384, 17685120, 11727507, 18225590, 16248248, 12544258, 17996216, 16357156, 12202783, 11597399, 16140980, 17236202, 15672286, 18061531, 16287490, 15231207, 16050785, 17909831, 18203445, 16986486, 11453659, 11755824, 17674766, 11895923, 15208356, 11904986, 15103197, 12966511, 12860957, 15934280, 15645429, 11479234, 17431103, 18172732, 17592548, 15197768, 17904355, 17200208, 14763138, 11677653, 15736426, 17208308, 17177999, 18236164, 17139501, 15987992, 12063543, 16488438, 16496417, 15194221, 15638964, 15878750, 12212108, 17591832, 15800944, 16005600, 15796181, 11448349, 15923166, 16702519, 15804620, 17078054, 12138239, 17949783, 12422313, 12782602, 15865067, 17723181, 16472704, 12187077, 12696248, 11890870, 12647989, 15543230, 11350885, 17096332, 17404024, 16103303, 14967456, 17369752, 16158919, 15592685, 17618045, 16088519, 17079462, 15833870, 17956162, 11568571, 15256466, 15520175, 16857823, 12743152, 15887238, 17143494, 16428508, 12583831, 11673832, 11706420, 14601066, 14977086, 12174340, 16264262, 17638894, 12414665, 18268492, 11920518, 11939730, 17878104, 16641105, 15785737, 16919867, 18442098, 18045070, 12480548, 17848272, 12017338, 16144930, 12587379, 14519647, 12512382, 15199094, 18369180, 18199957, 18316548, 16750322, 16422547, 16452236, 14967457, 17940077, 16183941, 12599217, 17178880, 15212612, 17936675, 18202792, 17671674, 17964995, 11235991, 17410004, 13129707, 18329328, 11303632, 17520766, 11564579, 17258495, 12912971, 12220351, 16082192, 16763281, 15238978, 15057134, 16737616, 12820779, 18636200, 14997212, 16757203, 17961551, 18025070, 17412519, 16330971, 12952019, 16562649, 11905034, 17538163, 17762933, 12228201, 12112535, 17477349, 17121916, 12747978, 14612544, 16007067, 11911252, 16904111, 16343364, 11668514, 14751528, 15520205, 16740767, 12541404, 14530163, 15450723, 16818711, 16922611, 17660872, 16273222, 12833132, 16731604, 12509799, 18045071, 11893453, 15756022, 17273794, 17487385, 16207530, 14607328, 15608420, 17134359, 15120370, 11221831, 17340131, 17520580, 11751491, 15115300, 12011992, 12539309, 17205528, 18309947, 12865874, 16198049, 17189989, 15774576, 16258434, 12440226, 17487368, 17310348, 15986037, 12097237, 12147092, 17888033, 11673692, 16314626, 15142631, 11728233, 15338866, 12738995, 17211865, 17848290, 13679857, 11389080, 17591829, 12422310, 16161046, 17877424, 17974918, 11846729, 16788977, 12447651, 17936670, 11267947, 15833860, 12167415, 16540898, 18326051, 11585773, 16552236, 11556855, 14649542, 11180160, 11555592, 16644882, 11706397, 12142091, 16890793, 15827337, 18645125, 15652339, 17697551, 16004931, 16525614, 17122988, 15878755, 18302259, 15791567, 12429646, 14500405, 15599851, 17224925, 15623643, 16027075, 12607604, 16952836, 18248834, 12673202, 11272092, 15821783, 14988746, 18413807, 14981927, 16807070, 18366301, 15809707, 15613446, 14581353, 18438866, 17141073, 12515612, 15816106, 15254682, 12826036, 14967462, 15717992, 14732836, 17631646, 17940507, 15753456, 12520461, 14581378","17673925, 11916556, 17638058, 16807070, 16969480, 17848307, 16682429, 17312781, 12708486, 14689060, 16676365, 12589859, 15965904, 11445847, 17990317, 16380997, 12935924, 12632081, 14581353, 17908957, 11959846, 15700036, 16815198, 11390535, 16455286, 17989125, 17258495, 12702551, 11836556, 12673364, 15810068, 11358835, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 18376308, 17549376, 18447972, 16012721, 16713672, 17725429, 11445859, 17565818",CDK1: UNKNOWN; CDK2: inhibitor; CDK4: UNKNOWN; CDK5: UNKNOWN; CDK6: UNKNOWN; EGFR: UNKNOWN,ATP binding; acetylcholine receptor activator activity; actin filament binding,0.0468395316046839,50.0
phenethyl isothiocyanate,"AMPLIFICATION, SOMATIC","UCHL1, VCP, VIM, YWHAZ",4,"PIK3CA, TP53",2,4,47,"18339795, 15311506, 15239400, 15328197","17638058, 11916556, 16807070, 16969480, 17848307, 16682429, 17312781, 12708486, 14689060, 16676365, 12589859, 15965904, 11445847, 17990317, 16380997, 12935924, 14581353, 15700036, 17908957, 11959846, 16815198, 11390535, 16455286, 17989125, 17258495, 12702551, 11836556, 12673364, 15810068, 11358835, 18254958, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 18376308, 17549376, 18447972, 16012721, 16713672, 17725429, 11445859, 17565818",UCHL1: UNKNOWN; VCP: UNKNOWN; VIM: UNKNOWN; YWHAZ: UNKNOWN,alpha-2A adrenergic receptor binding; ADP binding; double-stranded RNA binding,0.0468395316046839,44.44444444444444
bms-690514,"DELETION, SOMATIC","EGFR, ERBB2",2,CDKN2A,1,320,16,"17826531, 14603452, 15161032, 17250463, 17098420, 16565089, 16551906, 16722544, 14662414, 16630292, 15930290, 17653341, 16495180, 15476268, 18383530, 11597400, 15173005, 11173137, 15511476, 15871288, 15659782, 11992543, 17608727, 12415634, 14528090, 15473298, 17609492, 17350323, 18307254, 12782800, 18377832, 18199961, 16984384, 17685120, 11727507, 18225590, 12544258, 17996216, 16357156, 15021776, 12202783, 11597399, 16140980, 17236202, 15672286, 18061531, 16287490, 15231207, 16050785, 17909831, 18203445, 16986486, 11755824, 17674766, 11895923, 15208356, 11904986, 15103197, 12966511, 12860957, 15934280, 11479234, 17431103, 18172732, 17592548, 15197768, 17904355, 17200208, 14763138, 11677653, 15736426, 16815198, 17208308, 18236164, 15987992, 12063543, 16488438, 15194221, 15638964, 15878750, 17591832, 15800944, 16005600, 15796181, 11448349, 15923166, 16702519, 15804620, 17078054, 12138239, 17949783, 12422313, 12782602, 15865067, 17723181, 16472704, 12187077, 12696248, 11890870, 12647989, 11350885, 17096332, 17404024, 16103303, 14967456, 17369752, 16158919, 18528705, 15592685, 17618045, 16088519, 17079462, 17956162, 11568571, 15256466, 15520175, 16857823, 12743152, 15887238, 17143494, 16428508, 12583831, 11673832, 11706420, 16490596, 14601066, 14977086, 12174340, 16264262, 17638894, 12414665, 18268492, 11920518, 11939730, 17878104, 16641105, 15785737, 16919867, 18442098, 18045070, 17848272, 16144930, 12587379, 14519647, 12512382, 15199094, 18369180, 18199957, 18316548, 16750322, 17704947, 14967457, 17940077, 16183941, 12599217, 17178880, 14499691, 15212612, 17936675, 18202792, 17671674, 17964995, 11235991, 17410004, 13129707, 18329328, 11303632, 17520766, 17258495, 12912971, 12220351, 16082192, 16763281, 15238978, 15057134, 16737616, 12820779, 18636200, 14997212, 16757203, 17961551, 18025070, 17412519, 16330971, 12952019, 16562649, 11905034, 17538163, 17762933, 12228201, 12112535, 17121916, 14612544, 16007067, 11911252, 16904111, 16343364, 11668514, 14751528, 15520205, 16740767, 12541404, 14530163, 15450723, 12649172, 16818711, 16922611, 17660872, 16273222, 12833132, 16731604, 12509799, 18045071, 11893453, 15756022, 17273794, 16207530, 14607328, 15608420, 17134359, 15120370, 11221831, 17520580, 11751491, 15115300, 12011992, 17205528, 18309947, 12865874, 16198049, 17189989, 15774576, 16258434, 12440226, 17487368, 17310348, 15986037, 12147092, 17888033, 11673692, 16314626, 15142631, 11728233, 15338866, 12738995, 17211865, 17848290, 13679857, 11389080, 17591829, 14666705, 12422310, 16161046, 17877424, 17974918, 11846729, 16788977, 17936670, 15833860, 12167415, 16540898, 18326051, 16552236, 11556855, 14649542, 16644882, 11706397, 12142091, 16890793, 15827337, 18645125, 15652339, 17697551, 16004931, 17122988, 15878755, 18302259, 15791567, 14500405, 15599851, 17224925, 17416856, 15623643, 12607604, 18248834, 12673202, 15821783, 14988746, 18413807, 14981927, 16807070, 18366301, 15809707, 15613446, 14581353, 17141073, 12515612, 15816106, 15254682, 12826036, 14967462, 15717992, 14732836, 17631646, 17940507, 15753456, 12520461, 14581378","15495191, 16713672, 16278815, 12632081, 18413807, 11720478, 11309301, 16849682, 17117177, 12684406, 12459644, 14586645, 15083191, 14991744, 17079134, 14654786",EGFR: inhibitor; ERBB2: inhibitor,actin filament binding; ATP binding,0.0483504842370931,75.0
