DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Article Count,PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR
Wortmannin,"AMPLIFICATION, SOMATIC",PIK3CA,1,17,"11836556, 16815198, 11959846, 11358835, 15586224, 15700036, 16676365, 16807070, 15543611, 17549376, 17990317, 14581353, 18376308, 16380997, 18447972, 17848307, 17989125",PIK3CA: UNKNOWN,,0.0066227278903681
XL765,"AMPLIFICATION, SOMATIC",PIK3CA,1,17,"11836556, 16815198, 11959846, 11358835, 15586224, 15700036, 16676365, 16807070, 15543611, 17549376, 17990317, 14581353, 18376308, 16380997, 18447972, 17848307, 17989125",PIK3CA: UNKNOWN,,0.0125677812989311
Golotimod,DELETION,TLR7,1,1,17201162,TLR7: UNKNOWN,,0.0156641911841751
Buparlisib,"AMPLIFICATION, SOMATIC",PIK3CA,1,17,"11836556, 16815198, 11959846, 11358835, 15586224, 15700036, 16676365, 16807070, 15543611, 17549376, 17990317, 14581353, 18376308, 16380997, 18447972, 17848307, 17989125",PIK3CA: inhibitor,1-phosphatidylinositol-3-kinase activity,0.0387888821841708
CH-5132799,"AMPLIFICATION, SOMATIC",PIK3CA,1,17,"11836556, 16815198, 11959846, 11358835, 15586224, 15700036, 16676365, 16807070, 15543611, 17549376, 17990317, 14581353, 18376308, 16380997, 18447972, 17848307, 17989125",PIK3CA: inhibitor,1-phosphatidylinositol-3-kinase activity,0.0387888821841708
Copanlisib,"AMPLIFICATION, SOMATIC",PIK3CA,1,17,"11836556, 16815198, 11959846, 11358835, 15586224, 15700036, 16676365, 16807070, 15543611, 17549376, 17990317, 14581353, 18376308, 16380997, 18447972, 17848307, 17989125",PIK3CA: inhibitor,1-phosphatidylinositol-3-kinase activity,0.0387888821841708
