DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Literature-Validated Risk Genes,Number of Validated Risk Genes,Gene Target Article Count,Risk Gene Article Count,Gene Target PMIDs,Risk Gene PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR,Percent Targets Hit
canertinib,"AMPLIFICATION, SOMATIC","AKT1, EGFR, ERBB2, ERBB4",4,PIK3CA,1,662,34,"18199961, 15804620, 12782800, 17961551, 11389080, 17369752, 17848272, 17205528, 15871288, 12696248, 18045070, 16140980, 11677653, 17211865, 18225590, 12509799, 15057134, 17431103, 17404024, 11846729, 17189989, 14981927, 17224925, 16158919, 18025070, 17936670, 16428508, 12415634, 17098420, 14581353, 18369180, 14732836, 17674766, 15592685, 12649172, 15623643, 16807070, 16778075, 15756022, 16818711, 16630292, 17685120, 18061531, 12966511, 14528090, 17078054, 17956162, 15796181, 16103303, 11755824, 11895923, 17350323, 17604679, 17904355, 17121916, 15887238, 18302259, 17410004, 18172732, 15161032, 11173137, 11939730, 17909831, 11706397, 17134359, 16737616, 16050785, 18366301, 18442098, 15638964, 15987992, 17996216, 12063543, 12860957, 15800944, 16472704, 17591832, 16314626, 12520461, 17848290, 17236202, 16904111, 18043285, 15120370, 11568571, 18236164, 11303632, 17723181, 15208356, 12220351, 15194221, 12440226, 15672286, 16641105, 14612544, 15785737, 16330971, 17660872, 12422313, 12228201, 16919867, 15613446, 12607604, 15717992, 12112535, 15103197, 15608420, 17969526, 14967457, 14967456, 17608727, 16005600, 15021776, 14601066, 14662414, 15930290, 11221831, 14997212, 11904986, 18383530, 11905034, 18645125, 16740767, 16644882, 18329328, 11448349, 16161046, 11890870, 11992543, 15199094, 11920518, 16287490, 17940507, 16198049, 18199957, 18326051, 11911252, 18307254, 18636200, 17538163, 13679857, 16757203, 17122988, 15652339, 17258495, 12202783, 15473298, 18202792, 17653341, 18203445, 16722544, 16890793, 11673692, 15231207, 17143494, 17487368, 11597399, 11235991, 16357156, 16183941, 18248834, 16552236, 17591829, 16565089, 16857823, 12738995, 16540898, 12833132, 15923166, 15827337, 16002527, 17310348, 17638894, 17940077, 11673832, 17631646, 16750322, 17671674, 18377832, 15254682, 12743152, 11727507, 14763138, 15865067, 12515612, 16922611, 16088519, 16488438, 12512382, 12142091, 17200208, 14519647, 17762933, 16258434, 12826036, 14607328, 15238978, 14649542, 11350885, 15986037, 15212612, 17416856, 17609492, 15142631, 15878755, 16082192, 15338866, 17936675, 15736426, 15896313, 14967462, 17964995, 17520580, 15809707, 12952019, 12912971, 12167415, 15520205, 16986486, 12599217, 12011992, 16788977, 18309947, 14666705, 16763281, 11479234, 15878750, 12532415, 12541404, 17618045, 12865874, 17250463, 12647989, 18045071, 12147092, 17208308, 11893453, 17878104, 11556855, 15197768, 17697551, 12544258, 12174340, 17079462, 17520766, 17178880, 15173005, 14603452, 12187077, 11597400, 12414665, 15599851, 16004931, 17888033, 13129707, 14530163, 15520175, 15821783, 12138239, 15115300, 17949783, 16343364, 15256466, 16702519, 16007067, 17412519, 17877424, 18268492, 18316548, 16551906, 16984384, 17096332, 15833860, 16495180, 12782602, 16273222, 15774576, 12587379, 15450723, 18413807, 14499691, 15659782, 14977086, 17826531, 17704947, 12583831, 15934280, 11751491, 17974918, 15791567, 14500405, 11728233, 11706420, 17592548, 16144930, 14751528, 16562649, 15511476, 15816106, 12422310, 16815198, 12673202, 15476268, 14581378, 17141073, 18528705, 15753456, 16264262, 12820779, 11668514, 16207530, 16490596, 14988746, 17273794, 16731604","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",AKT1: inhibitor; EGFR: inhibitor; ERBB2: inhibitor; ERBB4: inhibitor,14-3-3 protein binding; actin filament binding; ATP binding,0.0377432416152028,100.0
abrocitinib,"AMPLIFICATION, SOMATIC","JAK2, JAK3",2,PIK3CA,1,4,34,"18204781, 15947106","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: inhibitor; JAK3: inhibitor,acetylcholine receptor binding; ATP binding,0.0386010425610029,100.0
baricitinib,"AMPLIFICATION, SOMATIC","JAK2, JAK3",2,PIK3CA,1,4,34,"18204781, 15947106","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: inhibitor; JAK3: inhibitor,acetylcholine receptor binding; ATP binding,0.0386010425610029,100.0
bms-690514,"AMPLIFICATION, SOMATIC","EGFR, ERBB2",2,PIK3CA,1,960,34,"18199961, 15804620, 12782800, 17961551, 11389080, 17369752, 17848272, 17205528, 15871288, 12696248, 18045070, 16140980, 11677653, 17211865, 18225590, 12509799, 15057134, 17431103, 17404024, 11846729, 17189989, 14981927, 17224925, 16158919, 18025070, 17936670, 16428508, 12415634, 17098420, 14581353, 18369180, 14732836, 17674766, 15592685, 12649172, 15623643, 16807070, 15756022, 16818711, 16630292, 17685120, 18061531, 12966511, 14528090, 17078054, 17956162, 15796181, 16103303, 11895923, 11755824, 17350323, 17904355, 17121916, 15887238, 18302259, 17410004, 18172732, 15161032, 11173137, 11939730, 17909831, 11706397, 17134359, 16737616, 16050785, 18366301, 18442098, 15638964, 15987992, 17996216, 12063543, 12860957, 15800944, 16472704, 17591832, 16314626, 12520461, 17848290, 17236202, 16904111, 15120370, 11568571, 18236164, 11303632, 17723181, 15208356, 12220351, 15194221, 12440226, 15672286, 16641105, 14612544, 15785737, 16330971, 17660872, 12422313, 12228201, 16919867, 15613446, 12607604, 15717992, 12112535, 15103197, 15608420, 14967457, 14967456, 17608727, 16005600, 15021776, 14601066, 14662414, 15930290, 11221831, 14997212, 11904986, 18383530, 11905034, 18645125, 16740767, 16644882, 18329328, 11448349, 16161046, 11890870, 11992543, 15199094, 11920518, 16287490, 17940507, 16198049, 18199957, 18326051, 11911252, 18307254, 18636200, 17538163, 13679857, 16757203, 17122988, 15652339, 17258495, 12202783, 15473298, 18202792, 17653341, 18203445, 16722544, 16890793, 11673692, 15231207, 17143494, 17487368, 11597399, 11235991, 16357156, 16183941, 18248834, 16552236, 17591829, 16565089, 16857823, 12738995, 16540898, 12833132, 15923166, 15827337, 17310348, 17638894, 17940077, 11673832, 17631646, 16750322, 17671674, 18377832, 15254682, 12743152, 11727507, 14763138, 15865067, 12515612, 16922611, 16088519, 16488438, 12512382, 12142091, 17200208, 14519647, 17762933, 16258434, 12826036, 14607328, 15238978, 14649542, 11350885, 15986037, 15212612, 17416856, 17609492, 15142631, 15878755, 16082192, 15338866, 17936675, 15736426, 14967462, 17964995, 17520580, 15809707, 12952019, 12912971, 12167415, 15520205, 16986486, 12599217, 12011992, 16788977, 18309947, 14666705, 16763281, 11479234, 15878750, 12541404, 17618045, 12865874, 17250463, 12647989, 18045071, 12147092, 17208308, 11893453, 17878104, 11556855, 15197768, 17697551, 12544258, 12174340, 17079462, 17520766, 17178880, 15173005, 14603452, 12187077, 11597400, 12414665, 15599851, 16004931, 17888033, 13129707, 14530163, 15520175, 15821783, 12138239, 15115300, 17949783, 16343364, 15256466, 16702519, 16007067, 17412519, 17877424, 18268492, 18316548, 16551906, 16984384, 17096332, 15833860, 16495180, 12782602, 16273222, 15774576, 12587379, 15450723, 18413807, 14499691, 15659782, 14977086, 17826531, 17704947, 12583831, 15934280, 11751491, 17974918, 15791567, 14500405, 11728233, 11706420, 17592548, 16144930, 14751528, 16562649, 15511476, 15816106, 12422310, 16815198, 12673202, 15476268, 14581378, 17141073, 18528705, 15753456, 16264262, 12820779, 11668514, 16207530, 16490596, 14988746, 17273794, 16731604","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",EGFR: inhibitor; ERBB2: inhibitor,actin filament binding; ATP binding,0.0386010425610029,100.0
delgocitinib,"AMPLIFICATION, SOMATIC","JAK2, JAK3",2,PIK3CA,1,4,34,"18204781, 15947106","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: inhibitor; JAK3: inhibitor,acetylcholine receptor binding; ATP binding,0.0386010425610029,100.0
futibatinib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, FGFR4",4,PIK3CA,1,33,34,"12569015, 12075207, 18059337, 15165306, 16807070, 11562460, 17545628, 11605053","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FGFR4: inhibitor,ATP binding,0.0386010425610029,100.0
infigratinib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, FGFR4",4,PIK3CA,1,33,34,"12569015, 12075207, 18059337, 15165306, 16807070, 11562460, 17545628, 11605053","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FGFR4: inhibitor,ATP binding,0.0386010425610029,100.0
pemigatinib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, FGFR4",4,PIK3CA,1,33,34,"12569015, 12075207, 18059337, 15165306, 16807070, 11562460, 17545628, 11605053","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FGFR4: inhibitor,ATP binding,0.0386010425610029,100.0
sitravatinib,"AMPLIFICATION, SOMATIC","MET, RET",2,PIK3CA,1,116,34,"15719371, 16209369, 11742034, 11329134, 11938683, 15319714, 15203751, 14962731, 15379723, 17427103, 16634961, 17075124, 11289733, 12670889, 15735049, 11370534, 11216646, 11705871, 11752453, 11911252, 11817715, 16778204, 12548161, 17131411, 11953175, 15988378, 16946010, 17684930, 16402937, 15583857, 11116144, 11301350, 12212516, 12162676, 12907632, 15611826, 17891251, 18437172, 14991901, 16149875, 17471236, 16350727, 16932252, 10989966, 11706744, 16555619, 18349821, 12743496, 14761598, 16551863, 17435680, 17900235, 11502806, 18551016, 10999773, 11502837","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",MET: inhibitor; RET: inhibitor,ATP binding,0.0386010425610029,100.0
tofacitinib,"AMPLIFICATION, SOMATIC","JAK2, JAK3",2,PIK3CA,1,4,34,"18204781, 15947106","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: antagonist; JAK3: inhibitor,acetylcholine receptor binding; ATP binding,0.0386010425610029,100.0
vatalanib,"AMPLIFICATION, SOMATIC",EGFR,1,PIK3CA,1,888,34,"17079462, 17310348, 18236164, 11303632, 15804620, 12782800, 17178880, 17520766, 17723181, 15208356, 17961551, 17638894, 12220351, 15194221, 12440226, 11389080, 17369752, 11673832, 15173005, 17848272, 15672286, 16641105, 17205528, 17631646, 17940077, 16750322, 15871288, 12696248, 18045070, 16140980, 14603452, 14612544, 12187077, 15785737, 16330971, 11597400, 17660872, 11677653, 12414665, 15599851, 17671674, 16004931, 17211865, 17888033, 18377832, 18225590, 12509799, 15057134, 12422313, 17431103, 13129707, 17404024, 12228201, 14530163, 16919867, 11846729, 17189989, 14981927, 15254682, 15520175, 15613446, 15821783, 12743152, 17224925, 11727507, 12607604, 15717992, 12138239, 16158919, 14763138, 15865067, 18025070, 17936670, 12515612, 16922611, 12112535, 15103197, 16428508, 15608420, 15115300, 12415634, 17949783, 16088519, 14967457, 14581353, 16488438, 17098420, 18369180, 12512382, 16343364, 14967456, 17608727, 14732836, 12142091, 17200208, 14519647, 15256466, 16005600, 16702519, 17762933, 17674766, 16258434, 12826036, 16007067, 15592685, 17412519, 17273794, 15623643, 16807070, 14607328, 17877424, 18268492, 18316548, 15756022, 16818711, 15238978, 14649542, 11350885, 14601066, 15986037, 14662414, 16630292, 15930290, 16551906, 17685120, 11221831, 15212612, 16984384, 17096332, 14997212, 18061531, 11904986, 15833860, 16495180, 11905034, 12782602, 18383530, 12966511, 14528090, 16273222, 17609492, 15774576, 16740767, 18645125, 16644882, 12587379, 15142631, 15450723, 15878755, 17078054, 17956162, 18329328, 18413807, 16082192, 15338866, 11448349, 15796181, 16161046, 16103303, 15659782, 11895923, 11755824, 11890870, 17904355, 14977086, 11992543, 15736426, 17121916, 17826531, 12583831, 17936675, 15887238, 18302259, 14967462, 15199094, 15934280, 17964995, 11920518, 11751491, 17520580, 17410004, 16287490, 18172732, 17940507, 15809707, 17974918, 16198049, 15791567, 18199957, 15161032, 18326051, 14500405, 11911252, 12952019, 11728233, 18307254, 11173137, 11939730, 12912971, 11706420, 17909831, 18636200, 17538163, 12167415, 17592548, 13679857, 16757203, 15520205, 17122988, 16986486, 15652339, 16144930, 11706397, 12202783, 17134359, 17258495, 14751528, 12599217, 16737616, 12011992, 15473298, 17653341, 16562649, 16050785, 18202792, 18203445, 18366301, 16788977, 18309947, 18442098, 15816106, 12422310, 16722544, 15638964, 11673692, 16890793, 15231207, 15987992, 17143494, 17487368, 17996216, 12673202, 12063543, 12860957, 15800944, 16763281, 11479234, 15878750, 16472704, 11597399, 17591832, 16314626, 12520461, 12541404, 17618045, 12865874, 17250463, 17848290, 11235991, 12647989, 18045071, 16357156, 15476268, 16183941, 18248834, 12147092, 17141073, 17236202, 17208308, 15753456, 16904111, 16552236, 17591829, 16264262, 16565089, 11893453, 16857823, 12820779, 17878104, 12738995, 11668514, 16540898, 11556855, 16207530, 12833132, 15197768, 15923166, 17697551, 15827337, 15120370, 11568571, 12544258, 14988746, 16731604, 12174340, 14581378","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",EGFR: inhibitor,actin filament binding,0.0386010425610029,100.0
pd173955,"AMPLIFICATION, SOMATIC","FGFR1, PDGFRA, SRC",3,PIK3CA,1,16,34,"18059337, 15165306, 16807070, 11562460, 17545628, 17961551, 14499691, 17513510","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; PDGFRA: inhibitor; SRC: inhibitor,ATP binding,0.0386010425610029,83.33333333333334
ro-4584820,"AMPLIFICATION, SOMATIC",CDK4,1,PIK3CA,1,29,17,"12539309, 15543230, 16422547, 12747978, 12480548, 12447651, 12212108, 15645429, 17340131, 11564579, 11585773, 12429646, 16452236, 16027075, 16248248, 11555592, 16496417, 11272092, 11267947, 17487385, 15833870, 11180160, 11854069, 12017338, 17139501, 11453659, 17477349, 16525614","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",CDK4: inhibitor,ATP binding,0.0388787479031684,75.0
gilteritinib,"AMPLIFICATION, SOMATIC",ALK,1,PIK3CA,1,10,34,"15214912, 11485898, 16796648, 15602716, 17414097","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",ALK: inhibitor,ATP binding,0.0391604779604377,100.0
crizotinib,"AMPLIFICATION, SOMATIC","ALK, MET",2,PIK3CA,1,16,17,"15214912, 11485898, 17075124, 11289733, 17684930, 16796648, 18349821, 15602716, 15735049, 15319714, 11705871, 11752453, 11911252, 17435680, 17414097, 14991901","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",ALK: inhibitor; MET: inhibitor,ATP binding,0.039244393270353,75.0
staurosporine,"AMPLIFICATION, SOMATIC",SYK,1,PIK3CA,1,13,19,"12017338, 16248248, 11555592, 16496417, 17699797, 11267947, 11453659, 15543230, 11585773, 16422547, 12480548, 16452236, 15833870","14581353, 17990317, 16676365, 16900776, 17549376, 15543611, 16380997, 18447972, 17989125, 16807070, 18497946, 11358835, 11959846, 11836556, 18376308, 17848307, 15586224, 16815198, 15700036",SYK: UNKNOWN,ATP binding,0.0421186435617658,53.333333333333336
repotrectinib,"AMPLIFICATION, SOMATIC","NTRK1, NTRK3",2,PIK3CA,1,4,17,"11216646, 11114633, 16483615, 11279608","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",NTRK1: inhibitor; NTRK3: inhibitor,ATP binding,0.0428300612098774,75.0
xl228,"AMPLIFICATION, SOMATIC","IGF1R, SRC",2,PIK3CA,1,2,17,"17961551, 15221937","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",IGF1R: UNKNOWN; SRC: UNKNOWN,ATP binding,0.0428300612098774,75.0
cerdulatinib,"AMPLIFICATION, SOMATIC","JAK2, JAK3, SYK",3,PIK3CA,1,6,34,"17699797, 18204781, 15947106","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: modulator; JAK3: inhibitor; SYK: modulator,acetylcholine receptor binding; ATP binding,0.0437659707909963,100.0
pexidartinib,"AMPLIFICATION, SOMATIC",KIT,1,PIK3CA,1,14,34,"16342249, 17253141, 16757203, 17935283, 17513510, 17317803, 16630292","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",KIT: inhibitor,ATP binding,0.0437659707909963,100.0
fn-1501,"AMPLIFICATION, SOMATIC",CDK4,1,PIK3CA,1,26,17,"12539309, 15543230, 16422547, 12747978, 12480548, 12447651, 12212108, 17340131, 11564579, 11585773, 12429646, 16452236, 16027075, 16248248, 11555592, 16496417, 11267947, 17487385, 15833870, 11180160, 11854069, 12017338, 17139501, 11453659, 17477349","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",CDK4: inhibitor,ATP binding,0.0438007263762978,75.0
perifosine,"AMPLIFICATION, SOMATIC",AKT1,1,PIK3CA,1,12,34,"16002527, 14581353, 17974918, 16778075, 15896313, 12532415","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",AKT1: UNKNOWN,14-3-3 protein binding,0.0438173996638412,100.0
talmapimod,SOMATIC,TNF,1,CYLD,1,6,2,"18197435, 11926139, 12548461, 16888677, 15623624, 17356794","18497946, 16900776",TNF: UNKNOWN,cytokine activity,0.0438173996638412,100.0
dilmapimod,SOMATIC,TNF,1,CYLD,1,6,2,"18197435, 11926139, 12548461, 16888677, 15623624, 17356794","18497946, 16900776",TNF: UNKNOWN,cytokine activity,0.0438336283303833,100.0
vx-702,SOMATIC,TNF,1,CYLD,1,6,2,"18197435, 11926139, 12548461, 16888677, 15623624, 17356794","18497946, 16900776",TNF: UNKNOWN,cytokine activity,0.0438336283303833,100.0
purvalanol,AMPLIFICATION,CDK1,1,SOX2,1,3,1,"16525614, 15645429, 11272092",15942670,CDK1: binder,ATP binding,0.0484987457817729,66.66666666666666
