DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Literature-Validated Risk Genes,Number of Validated Risk Genes,Gene Target Article Count,Risk Gene Article Count,Gene Target PMIDs,Risk Gene PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR,Percent Targets Hit
foreskin fibroblast (neonatal),"AMPLIFICATION, DELETION, SOMATIC","FGFR2, IL6, TNF",3,"CYLD, PIK3CA, TLR7",3,14,20,"18197435, 11926139, 12548461, 12569015, 12075207, 16888677, 15947106, 15034017","14581353, 17990317, 16676365, 16900776, 17549376, 15543611, 16380997, 18447972, 17989125, 16807070, 18497946, 11358835, 11959846, 11836556, 18376308, 17201162, 17848307, 15586224, 16815198, 15700036",FGFR2: agonist; IL6: agonist; TNF: agonist,ATP binding; cytokine activity,0.0147228335408953,72.72727272727273
ritlecitinib,"AMPLIFICATION, SOMATIC",JAK3,1,PIK3CA,1,1,17,18204781,"15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK3: inhibitor,ATP binding,0.0147228335408953,66.66666666666666
bimiralisib,"AMPLIFICATION, SOMATIC",MTOR,1,PIK3CA,1,8,17,"18089792, 17342092, 18316583, 15355912, 17047074, 15833854, 16927414, 15379322","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",MTOR: inhibitor,ATP binding,0.0151518110987114,100.0
gsk-1059615,"AMPLIFICATION, SOMATIC","MTOR, PIK3C3",2,PIK3CA,1,10,17,"15805246, 18649358, 18089792, 17342092, 18316583, 15355912, 17047074, 15833854, 16927414, 15379322","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",MTOR: inhibitor; PIK3C3: inhibitor,ATP binding; 1-phosphatidylinositol-3-kinase activity,0.0151518110987114,100.0
deuruxolitinib,"AMPLIFICATION, SOMATIC",JAK2,1,PIK3CA,1,1,17,15947106,"15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: inhibitor,acetylcholine receptor binding,0.0163056128059409,100.0
phosphonotyrosine,"AMPLIFICATION, SOMATIC","HCK, KIT, SRC",3,PIK3CA,1,9,17,"16342249, 17253141, 16224162, 17961551, 16757203, 17935283, 17513510, 17317803, 16630292","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",HCK: UNKNOWN; KIT: inhibitor; SRC: inhibitor,ATP binding,0.0163056128059409,100.0
ag-24322,"AMPLIFICATION, SOMATIC",CDK4,1,PIK3CA,1,29,17,"12539309, 15543230, 16422547, 12747978, 12480548, 12447651, 12212108, 15645429, 17340131, 11564579, 11585773, 12429646, 16452236, 16027075, 16248248, 11555592, 16496417, 11272092, 11267947, 17487385, 15833870, 11180160, 11854069, 12017338, 17139501, 11453659, 17477349, 16525614","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",CDK4: inhibitor,ATP binding,0.0166514301243542,100.0
mkc-1,"AMPLIFICATION, SOMATIC",CDK4,1,PIK3CA,1,29,17,"12539309, 15543230, 16422547, 12747978, 12480548, 12447651, 12212108, 15645429, 17340131, 11564579, 11585773, 12429646, 16452236, 16027075, 16248248, 11555592, 16496417, 11272092, 11267947, 17487385, 15833870, 11180160, 11854069, 12017338, 17139501, 11453659, 17477349, 16525614","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",CDK4: inhibitor,ATP binding,0.0166514301243542,100.0
pha-793887,"AMPLIFICATION, SOMATIC",CDK4,1,PIK3CA,1,29,17,"12539309, 15543230, 16422547, 12747978, 12480548, 12447651, 12212108, 15645429, 17340131, 11564579, 11585773, 12429646, 16452236, 16027075, 16248248, 11555592, 16496417, 11272092, 11267947, 17487385, 15833870, 11180160, 11854069, 12017338, 17139501, 11453659, 17477349, 16525614","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",CDK4: inhibitor,ATP binding,0.0166514301243542,100.0
pd-168393,"AMPLIFICATION, SOMATIC","EGFR, ERBB2, SRC",3,PIK3CA,1,321,17,"18199961, 15804620, 12782800, 17961551, 11389080, 17369752, 17848272, 17205528, 15871288, 12696248, 18045070, 16140980, 11677653, 17211865, 18225590, 12509799, 15057134, 17431103, 17404024, 11846729, 17189989, 14981927, 17224925, 16158919, 18025070, 17936670, 16428508, 12415634, 17098420, 14581353, 18369180, 14732836, 17674766, 15592685, 12649172, 15623643, 16807070, 15756022, 16818711, 16630292, 17685120, 18061531, 12966511, 14528090, 17078054, 17956162, 15796181, 16103303, 11895923, 11755824, 17350323, 17904355, 17121916, 15887238, 18302259, 17410004, 18172732, 15161032, 11173137, 11939730, 17909831, 11706397, 17134359, 16737616, 16050785, 18366301, 18442098, 15638964, 15987992, 17996216, 12063543, 12860957, 15800944, 16472704, 17591832, 16314626, 12520461, 17848290, 17236202, 16904111, 15120370, 11568571, 18236164, 11303632, 17723181, 15208356, 12220351, 15194221, 12440226, 15672286, 16641105, 14612544, 15785737, 16330971, 17660872, 12422313, 12228201, 16919867, 15613446, 12607604, 15717992, 12112535, 15103197, 15608420, 14967457, 14967456, 17608727, 16005600, 15021776, 14601066, 14662414, 15930290, 11221831, 14997212, 11904986, 18383530, 11905034, 18645125, 16740767, 16644882, 18329328, 11448349, 16161046, 11890870, 11992543, 15199094, 11920518, 16287490, 17940507, 16198049, 18199957, 18326051, 11911252, 18307254, 18636200, 17538163, 13679857, 16757203, 17122988, 15652339, 17258495, 12202783, 15473298, 18202792, 17653341, 18203445, 16722544, 16890793, 11673692, 15231207, 17143494, 17487368, 11597399, 11235991, 16357156, 16183941, 18248834, 16552236, 17591829, 16565089, 16857823, 12738995, 16540898, 12833132, 15923166, 15827337, 17310348, 17638894, 17940077, 11673832, 17631646, 16750322, 17671674, 18377832, 15254682, 12743152, 11727507, 14763138, 15865067, 12515612, 16922611, 16088519, 16488438, 12512382, 12142091, 17200208, 14519647, 17762933, 16258434, 12826036, 14607328, 15238978, 14649542, 11350885, 15986037, 15212612, 17416856, 17609492, 15142631, 15878755, 16082192, 15338866, 17936675, 15736426, 14967462, 17964995, 17520580, 15809707, 12952019, 12912971, 12167415, 15520205, 16986486, 12599217, 12011992, 16788977, 18309947, 14666705, 16763281, 11479234, 15878750, 12541404, 17618045, 12865874, 17250463, 12647989, 18045071, 12147092, 17208308, 11893453, 17878104, 11556855, 15197768, 17697551, 12544258, 12174340, 17079462, 17520766, 17178880, 15173005, 14603452, 12187077, 11597400, 12414665, 15599851, 16004931, 17888033, 13129707, 14530163, 15520175, 15821783, 12138239, 15115300, 17949783, 16343364, 15256466, 16702519, 16007067, 17412519, 17877424, 18268492, 18316548, 16551906, 16984384, 17096332, 15833860, 16495180, 12782602, 16273222, 15774576, 12587379, 15450723, 18413807, 14499691, 15659782, 14977086, 17826531, 17704947, 12583831, 15934280, 11751491, 17974918, 15791567, 14500405, 11728233, 11706420, 17592548, 16144930, 14751528, 16562649, 15511476, 15816106, 12422310, 16815198, 12673202, 15476268, 14581378, 17141073, 18528705, 15753456, 16264262, 12820779, 11668514, 16207530, 16490596, 14988746, 17273794, 16731604","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",EGFR: inhibitor; ERBB2: inhibitor; SRC: UNKNOWN,actin filament binding; ATP binding,0.0169802400336652,100.0
