,gene_name,MUT_TYPE,q_value,empirical_q_value,GENE,PMID,NUMBER_OF_ARTICLES
6,BCL6,AMPLIFICATION,1.1060251600493612e-54,0.0116600765426333,BCL6,"11224600, 11420458, 14685876, 17429099",4.0
10,CLDN1,AMPLIFICATION,6.5911053664735535e-53,0.0116600765426333,CLDN1,"15170668, 17091452",2.0
12,CYLD,SOMATIC,0.0009622697492491,0.0365630103656301,CYLD,"16900776, 18497946",2.0
37,PIK3CA,"AMPLIFICATION, SOMATIC","4.9013845356499375e-54, 2.079207200788839e-15","0.0116600765426333, 0.0365630103656301",PIK3CA,"11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972",17.0
42,RFC4,AMPLIFICATION,4.9013845356499375e-54,0.0116600765426333,RFC4,16467079,1.0
49,SOX2,AMPLIFICATION,1.2920437544143294e-55,0.0116600765426333,SOX2,15942670,1.0
52,TLR7,DELETION,8.234936784924659e-31,0.0203366143594484,TLR7,17201162,1.0
